Region (Hex): 0x1878be00000, Region (Decimal): 1681678925824, L2 Misses: 184
Region (Hex): 0x18790200000, Region (Decimal): 1681750228992, L2 Misses: 201
Region (Hex): 0x18787c00000, Region (Decimal): 1681609719808, L2 Misses: 128
Region (Hex): 0x187be600000, Region (Decimal): 1682526175232, L2 Misses: 158
Region (Hex): 0x18782e00000, Region (Decimal): 1681527930880, L2 Misses: 118
Region (Hex): 0x1878da00000, Region (Decimal): 1681708285952, L2 Misses: 209
Region (Hex): 0x187a3800000, Region (Decimal): 1682075287552, L2 Misses: 84
Region (Hex): 0x187b8200000, Region (Decimal): 1682421317632, L2 Misses: 258
Region (Hex): 0x187aba00000, Region (Decimal): 1682211602432, L2 Misses: 107
Region (Hex): 0x187a8800000, Region (Decimal): 1682159173632, L2 Misses: 85
Region (Hex): 0x187ae000000, Region (Decimal): 1682251448320, L2 Misses: 103
Region (Hex): 0x18797400000, Region (Decimal): 1681869766656, L2 Misses: 48
Region (Hex): 0x187a3000000, Region (Decimal): 1682066898944, L2 Misses: 154
Region (Hex): 0x187a4200000, Region (Decimal): 1682085773312, L2 Misses: 183
Region (Hex): 0x1879fe00000, Region (Decimal): 1682014470144, L2 Misses: 144
Region (Hex): 0x1879b600000, Region (Decimal): 1681938972672, L2 Misses: 101
Region (Hex): 0x1878ee00000, Region (Decimal): 1681729257472, L2 Misses: 121
Region (Hex): 0x1878fe00000, Region (Decimal): 1681746034688, L2 Misses: 90
Region (Hex): 0x18792000000, Region (Decimal): 1681781686272, L2 Misses: 48
Region (Hex): 0x18793800000, Region (Decimal): 1681806852096, L2 Misses: 63
Region (Hex): 0x187b5800000, Region (Decimal): 1682377277440, L2 Misses: 70
Region (Hex): 0x187a2200000, Region (Decimal): 1682052218880, L2 Misses: 90
Region (Hex): 0x18797c00000, Region (Decimal): 1681878155264, L2 Misses: 264
Region (Hex): 0x1879c000000, Region (Decimal): 1681949458432, L2 Misses: 287
Region (Hex): 0x187b3a00000, Region (Decimal): 1682345820160, L2 Misses: 141
Region (Hex): 0x1878e400000, Region (Decimal): 1681718771712, L2 Misses: 1210
Region (Hex): 0x187a9400000, Region (Decimal): 1682171756544, L2 Misses: 199
Region (Hex): 0x187b9000000, Region (Decimal): 1682435997696, L2 Misses: 87
Region (Hex): 0x18796200000, Region (Decimal): 1681850892288, L2 Misses: 176
Region (Hex): 0x18797200000, Region (Decimal): 1681867669504, L2 Misses: 104
Region (Hex): 0x18798200000, Region (Decimal): 1681884446720, L2 Misses: 146
Region (Hex): 0x1879b800000, Region (Decimal): 1681941069824, L2 Misses: 127
Region (Hex): 0x187bd000000, Region (Decimal): 1682503106560, L2 Misses: 148
Region (Hex): 0x187b3200000, Region (Decimal): 1682337431552, L2 Misses: 78
Region (Hex): 0x18789600000, Region (Decimal): 1681636982784, L2 Misses: 112
Region (Hex): 0x1878b400000, Region (Decimal): 1681668440064, L2 Misses: 97
Region (Hex): 0x18792200000, Region (Decimal): 1681783783424, L2 Misses: 83
Region (Hex): 0x187a5c00000, Region (Decimal): 1682113036288, L2 Misses: 83
Region (Hex): 0x187aca00000, Region (Decimal): 1682228379648, L2 Misses: 80
Region (Hex): 0x18780800000, Region (Decimal): 1681488084992, L2 Misses: 171
Region (Hex): 0x18785600000, Region (Decimal): 1681569873920, L2 Misses: 204
Region (Hex): 0x1878dc00000, Region (Decimal): 1681710383104, L2 Misses: 81
Region (Hex): 0x18796c00000, Region (Decimal): 1681861378048, L2 Misses: 85
Region (Hex): 0x1879d200000, Region (Decimal): 1681968332800, L2 Misses: 125
Region (Hex): 0x18788400000, Region (Decimal): 1681618108416, L2 Misses: 162
Region (Hex): 0x187afe00000, Region (Decimal): 1682282905600, L2 Misses: 130
Region (Hex): 0x187b8a00000, Region (Decimal): 1682429706240, L2 Misses: 101
Region (Hex): 0x18782600000, Region (Decimal): 1681519542272, L2 Misses: 99
Region (Hex): 0x1879ba00000, Region (Decimal): 1681943166976, L2 Misses: 39
Region (Hex): 0x1879e600000, Region (Decimal): 1681989304320, L2 Misses: 93
Region (Hex): 0x187b2000000, Region (Decimal): 1682318557184, L2 Misses: 131
Region (Hex): 0x187b5a00000, Region (Decimal): 1682379374592, L2 Misses: 125
Region (Hex): 0x187ba400000, Region (Decimal): 1682456969216, L2 Misses: 126
Region (Hex): 0x187bf000000, Region (Decimal): 1682536660992, L2 Misses: 149
Region (Hex): 0x18786400000, Region (Decimal): 1681584553984, L2 Misses: 188
Region (Hex): 0x187b6c00000, Region (Decimal): 1682398248960, L2 Misses: 126
Region (Hex): 0x1878de00000, Region (Decimal): 1681712480256, L2 Misses: 221
Region (Hex): 0x18795a00000, Region (Decimal): 1681842503680, L2 Misses: 125
Region (Hex): 0x1879ae00000, Region (Decimal): 1681930584064, L2 Misses: 177
Region (Hex): 0x1879de00000, Region (Decimal): 1681980915712, L2 Misses: 157
Region (Hex): 0x187a1c00000, Region (Decimal): 1682045927424, L2 Misses: 183
Region (Hex): 0x187a4c00000, Region (Decimal): 1682096259072, L2 Misses: 50
Region (Hex): 0x187b5200000, Region (Decimal): 1682370985984, L2 Misses: 155
Region (Hex): 0x1879f000000, Region (Decimal): 1681999790080, L2 Misses: 178
Region (Hex): 0x187af800000, Region (Decimal): 1682276614144, L2 Misses: 159
Region (Hex): 0x187b9400000, Region (Decimal): 1682440192000, L2 Misses: 109
Region (Hex): 0x187aae00000, Region (Decimal): 1682199019520, L2 Misses: 221
Region (Hex): 0x187a5800000, Region (Decimal): 1682108841984, L2 Misses: 114
Region (Hex): 0x18786e00000, Region (Decimal): 1681595039744, L2 Misses: 102
Region (Hex): 0x1878f800000, Region (Decimal): 1681739743232, L2 Misses: 147
Region (Hex): 0x187bdc00000, Region (Decimal): 1682515689472, L2 Misses: 73
Region (Hex): 0x1878c000000, Region (Decimal): 1681681022976, L2 Misses: 157
Region (Hex): 0x187a6000000, Region (Decimal): 1682117230592, L2 Misses: 239
Region (Hex): 0x187bc000000, Region (Decimal): 1682486329344, L2 Misses: 53
Region (Hex): 0x187be000000, Region (Decimal): 1682519883776, L2 Misses: 202
Region (Hex): 0x18799a00000, Region (Decimal): 1681909612544, L2 Misses: 101
Region (Hex): 0x187aec00000, Region (Decimal): 1682264031232, L2 Misses: 1550
Region (Hex): 0x1878fa00000, Region (Decimal): 1681741840384, L2 Misses: 154
Region (Hex): 0x187bf400000, Region (Decimal): 1682540855296, L2 Misses: 78
Region (Hex): 0x187b0600000, Region (Decimal): 1682291294208, L2 Misses: 175
Region (Hex): 0x187a6a00000, Region (Decimal): 1682127716352, L2 Misses: 168
Region (Hex): 0x187ae200000, Region (Decimal): 1682253545472, L2 Misses: 139
Region (Hex): 0x187aa600000, Region (Decimal): 1682190630912, L2 Misses: 127
Region (Hex): 0x187b8600000, Region (Decimal): 1682425511936, L2 Misses: 100
Region (Hex): 0x187b4400000, Region (Decimal): 1682356305920, L2 Misses: 62
Region (Hex): 0x1879b400000, Region (Decimal): 1681936875520, L2 Misses: 256
Region (Hex): 0x187b7400000, Region (Decimal): 1682406637568, L2 Misses: 133
Region (Hex): 0x18787400000, Region (Decimal): 1681601331200, L2 Misses: 45
Region (Hex): 0x1879ca00000, Region (Decimal): 1681959944192, L2 Misses: 70
Region (Hex): 0x1879ee00000, Region (Decimal): 1681997692928, L2 Misses: 112
Region (Hex): 0x187ae800000, Region (Decimal): 1682259836928, L2 Misses: 144
Region (Hex): 0x187bd800000, Region (Decimal): 1682511495168, L2 Misses: 195
Region (Hex): 0x18781800000, Region (Decimal): 1681504862208, L2 Misses: 182
Region (Hex): 0x187a2e00000, Region (Decimal): 1682064801792, L2 Misses: 53
Region (Hex): 0x187bcc00000, Region (Decimal): 1682498912256, L2 Misses: 79
Region (Hex): 0x187bf600000, Region (Decimal): 1682542952448, L2 Misses: 9
Region (Hex): 0x1879a400000, Region (Decimal): 1681920098304, L2 Misses: 86
Region (Hex): 0x187af400000, Region (Decimal): 1682272419840, L2 Misses: 83
Region (Hex): 0x187b2a00000, Region (Decimal): 1682329042944, L2 Misses: 83
Region (Hex): 0x18798c00000, Region (Decimal): 1681894932480, L2 Misses: 121
Region (Hex): 0x18783800000, Region (Decimal): 1681538416640, L2 Misses: 161
Region (Hex): 0x187ab400000, Region (Decimal): 1682205310976, L2 Misses: 142
Region (Hex): 0x187a1800000, Region (Decimal): 1682041733120, L2 Misses: 127
Region (Hex): 0x18780e00000, Region (Decimal): 1681494376448, L2 Misses: 37
Region (Hex): 0x1878c400000, Region (Decimal): 1681685217280, L2 Misses: 38
Region (Hex): 0x18792400000, Region (Decimal): 1681785880576, L2 Misses: 113
Region (Hex): 0x187b1c00000, Region (Decimal): 1682314362880, L2 Misses: 136
Region (Hex): 0x187bb200000, Region (Decimal): 1682471649280, L2 Misses: 229
Region (Hex): 0x187a0a00000, Region (Decimal): 1682027053056, L2 Misses: 76
Region (Hex): 0x1878a400000, Region (Decimal): 1681651662848, L2 Misses: 45
Region (Hex): 0x187ac400000, Region (Decimal): 1682222088192, L2 Misses: 79
Region (Hex): 0x187ba800000, Region (Decimal): 1682461163520, L2 Misses: 116
Region (Hex): 0x187b4e00000, Region (Decimal): 1682366791680, L2 Misses: 186
Region (Hex): 0x18793600000, Region (Decimal): 1681804754944, L2 Misses: 98
Region (Hex): 0x187ae600000, Region (Decimal): 1682257739776, L2 Misses: 83
Region (Hex): 0x18794a00000, Region (Decimal): 1681825726464, L2 Misses: 83
Region (Hex): 0x1879a800000, Region (Decimal): 1681924292608, L2 Misses: 157
Region (Hex): 0x187a4600000, Region (Decimal): 1682089967616, L2 Misses: 129
Region (Hex): 0x187ad400000, Region (Decimal): 1682238865408, L2 Misses: 134
Region (Hex): 0x187a2400000, Region (Decimal): 1682054316032, L2 Misses: 126
Region (Hex): 0x187a5600000, Region (Decimal): 1682106744832, L2 Misses: 50
Region (Hex): 0x18781000000, Region (Decimal): 1681496473600, L2 Misses: 63
Region (Hex): 0x18793000000, Region (Decimal): 1681798463488, L2 Misses: 311
Region (Hex): 0x1878aa00000, Region (Decimal): 1681657954304, L2 Misses: 72
Region (Hex): 0x1878cc00000, Region (Decimal): 1681693605888, L2 Misses: 116
Region (Hex): 0x18798e00000, Region (Decimal): 1681897029632, L2 Misses: 73
Region (Hex): 0x187ad800000, Region (Decimal): 1682243059712, L2 Misses: 152
Region (Hex): 0x18784c00000, Region (Decimal): 1681559388160, L2 Misses: 39
Region (Hex): 0x18793e00000, Region (Decimal): 1681813143552, L2 Misses: 262
Region (Hex): 0x18794600000, Region (Decimal): 1681821532160, L2 Misses: 133
Region (Hex): 0x18797600000, Region (Decimal): 1681871863808, L2 Misses: 130
Region (Hex): 0x18797e00000, Region (Decimal): 1681880252416, L2 Misses: 193
Region (Hex): 0x187b6800000, Region (Decimal): 1682394054656, L2 Misses: 81
Region (Hex): 0x18784e00000, Region (Decimal): 1681561485312, L2 Misses: 133
Region (Hex): 0x187a3600000, Region (Decimal): 1682073190400, L2 Misses: 192
Region (Hex): 0x187a9e00000, Region (Decimal): 1682182242304, L2 Misses: 122
Region (Hex): 0x187b4c00000, Region (Decimal): 1682364694528, L2 Misses: 75
Region (Hex): 0x187a0600000, Region (Decimal): 1682022858752, L2 Misses: 115
Region (Hex): 0x187a5200000, Region (Decimal): 1682102550528, L2 Misses: 55
Region (Hex): 0x187b1800000, Region (Decimal): 1682310168576, L2 Misses: 72
Region (Hex): 0x187b9a00000, Region (Decimal): 1682446483456, L2 Misses: 68
Region (Hex): 0x18791400000, Region (Decimal): 1681769103360, L2 Misses: 61
Region (Hex): 0x187a7e00000, Region (Decimal): 1682148687872, L2 Misses: 154
